User_ID,Age,Education_Level,Stream,Personality_Type,Preferred_Work_Style,Interest_Area,Logical_Score,Creative_Score,Communication_Score,Tech_Score,Math_Score,Biology_Score,Leadership_Score,Problem_Solving_Score,Risk_Taking_Level,Stress_Tolerance,Learning_Speed,Work_Preference,Recommended_Career,Why_Recommended,Steps_To_Achieve,Approx_Salary_India_2026,Top_Colleges_India,Demand_Level
1,20,Undergraduate,Computer Science,Creative,Hybrid,Media,58,88,19,89,67,25,70,70,64,40,57,Hybrid,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
2,28,Undergraduate,Arts,Organizer,Independent,Design,60,24,90,65,47,74,78,69,42,78,69,Office,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
3,26,Undergraduate,Engineering,Organizer,Independent,Business,68,33,47,80,45,58,69,86,55,71,63,Hybrid,DevOps Engineer,Tech skills combined with organization aptitude fit DevOps workflows.,1. Learn Linux & scripting 2. Docker/Kubernetes 3. CI/CD pipelines 4. B.Tech IT/CS 5. Work in product companies,8-18 LPA,"NITs, VIT, Pune University, KIIT, SRM",High
4,23,Undergraduate,Arts,Helper,Independent,Media,44,52,75,68,60,79,67,72,30,66,62,Office,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
5,28,Undergraduate,Commerce,Analytical,Hybrid,Media,77,48,62,44,78,23,6,79,49,74,58,Office,Chartered Accountant,Exceptional math and logical skills are core to chartered accountancy.,1. Enroll in ICAI CA Foundation 2. CA Intermediate 3. Articleship (3 yrs) 4. CA Final 5. Practice or join Big 4,7-22 LPA,"ICAI, SRCC, Christ University, Loyola, St. Xaviers",High
6,21,Undergraduate,Engineering,Innovator,Hybrid,Healthcare,80,24,5,91,84,35,38,78,46,58,71,Field,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
7,24,Undergraduate,Computer Science,Researcher,Hybrid,Finance,88,41,52,77,80,47,47,79,50,60,60,Hybrid,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
8,35,Postgraduate,Science,Researcher,Independent,Technology,45,51,88,62,53,65,43,69,30,76,76,Hybrid,Psychologist,"Empathy, communication, and analytical skills suit psychology.",1. BA/BSc Psychology 2. MA/MSc Psychology 3. MPhil Clinical Psych 4. RCI registration 5. Hospitals/NGOs/private practice,5-14 LPA,"NIMHANS, TISS, JNU, Christ University, Amity",Medium
9,20,Undergraduate,Engineering,Researcher,Independent,Education,83,23,40,87,86,60,20,83,61,44,82,Office,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
10,18,Undergraduate,Science,Researcher,Hybrid,Law,79,67,26,81,88,11,51,77,42,73,58,Remote,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
